S_name',travel_mode',imp_friends','school_inter','Neigh_play','friend_meet','imp_kids','avg_mvpa','SD_mvpa',per_avg_under60',per_sixty_daily','mvpa_boys','mvpa_girls','0_30','30_40','40_50','50_60','60_70','70_80','80_90','more90','mvpa1','mvpa2','mvpa3','mvpa4','walk1','walk2','walk3','walk4','R_socio','R_sport','R_crime','R_walk','R_fit','R_outplay','R_min_outplay','R_simd','PA_home','PA_sc','PA_road','PA_Pfield','PA_park','PA_PG','PA_amenity','PA_SHOP','PA_F_home','PA_FSA','PA_OD','PA_H_garden','fsa_time','OD_time'
Baseline,usual,0.3,0,0.2,0.4,0.25,66.96751083,15,0.339431874,0.14589372,72.59490768,61.4421374,0.001444391,0.027924892,0.106403467,0.203659124,0.256138662,0.206066442,0.119884449,0.078478575,67,63,66,67,49,39,42,38,0,0.29,-0.04,0.58,0.66,0.1,0.17,0.09,11,22,14,3.057544535,2.973923929,0.352508426,1.898777082,0.379971112,2.073355802,5,7,0,17,30
Baseline,usual,0.3,0,0.2,0.4,0.25,67.33396245,15,0.339913337,0.142512077,73.1521394,61.57708812,0.000481464,0.022628792,0.102551757,0.214251324,0.257101589,0.212325469,0.110255176,0.080404429,66,64,67,68,47,41,44,38,0.06,0.31,-0.01,0.57,0.67,0.07,0.12,0.09,11,22,14,2.90834858,2.927241213,0.334694271,2.05284545,0.376196437,2.056639384,6,7,0,17,30
Baseline,usual,0.3,0,0.2,0.4,0.25,66.87867116,15,0.34954261,0.148309179,72.68094303,61.30103872,0,0.02503611,0.115069812,0.209436688,0.250842561,0.206547906,0.114588349,0.078478575,66,65,68,66,47,41,45,38,0.01,0.28,0.01,0.59,0.68,0.09,0.14,0.04,10,22,14,2.813654309,2.909234473,0.392354357,2.00727973,0.37841117,2.03258546,5,7,0,16,30
Baseline,usual,0.3,0,0.2,0.4,0.25,66.41290323,15,0.350024073,0.13236715,71.74209632,60.86907662,0,0.031295137,0.100625903,0.218103033,0.278767453,0.190659605,0.110255176,0.070293693,66,63,66,67,48,39,43,38,0.03,0.27,-0.02,0.57,0.69,0.07,0.12,0.07,10,22,14,2.826942706,2.599749639,0.488435243,1.962195474,0.373307655,2.031275879,5,7,0,17,30
Baseline,usual,0.3,0,0.2,0.4,0.25,67.42035628,15,0.334617238,0.153140097,72.24541154,62.42027451,0.000481464,0.021184401,0.103514685,0.209436688,0.259508907,0.212806933,0.111218103,0.08184882,66,64,68,67,48,39,44,39,0.04,0.29,-0.04,0.54,0.71,0.09,0.13,0.1,11,22,15,2.972614348,2.76939817,0.393143958,2.01762157,0.380182956,2.096138662,5,7,0,16,30
Baseline,usual,0.3,0,0.2,0.4,0.25,67.26129995,14,0.333654309,0.142028986,72.2106367,62.02255699,0,0.017332691,0.097255657,0.219065961,0.272026962,0.199807415,0.123736158,0.070775156,66,64,67,68,49,40,43,38,0.05,0.32,-0.01,0.56,0.66,0.1,0.11,0.05,11,22,14,2.862070294,2.833471353,0.358440058,1.965681271,0.375040924,2.084275397,5,7,0,17,29
Baseline,usual,0.3,0,0.2,0.4,0.25,66.59838228,15,0.351468464,0.146376812,71.95603432,61.13128405,0.001444391,0.022147328,0.116514203,0.211362542,0.269619644,0.191622532,0.108329321,0.078960039,65,62,68,67,46,39,46,37,0.06,0.34,-0.01,0.57,0.68,0.06,0.08,0.08,11,22,14,2.917419355,2.748733751,0.296851228,1.945787193,0.375175734,2.08304285,5,7,0,16,29
Baseline,usual,0.3,0,0.2,0.4,0.25,67.10669234,15,0.341357727,0.139130435,72.63854545,61.50515504,0.001444391,0.01974001,0.098218584,0.221954742,0.264323544,0.199325951,0.119402985,0.075589793,66,66,67,67,47,43,44,38,0.01,0.3,-0.01,0.56,0.67,0.08,0.09,0.04,11,22,15,2.804679827,2.790505537,0.385228695,2.033452094,0.365546461,2.07006259,5,7,0,17,30
Baseline,usual,0.3,0,0.2,0.4,0.25,67.78492056,15,0.319210399,0.157487923,73.21177606,62.38413064,0.002407318,0.018295619,0.095811266,0.202696196,0.261916225,0.208955224,0.13192104,0.077997111,68,66,68,67,50,43,45,37,0,0.28,0.02,0.56,0.67,0.11,0.13,0.04,11,22,15,2.892479538,2.943033221,0.403408763,2.000577756,0.374848339,2.080115551,5,7,0,16,30
Baseline,usual,0.3,0,0.2,0.4,0.25,66.99166105,15,0.346653828,0.150724638,72.06652791,61.73270588,0.000481464,0.023591719,0.102551757,0.220028888,0.259990371,0.201251805,0.118921521,0.073182475,67,62,67,68,49,38,44,38,0.05,0.25,-0.02,0.52,0.69,0.09,0.14,0.06,11,22,14,3.093307655,2.748387097,0.33192104,1.897814155,0.379836302,2.048550794,5,7,0,17,29
